,Year 5,Year 4,Year 3,Year 2,Year 1
Liability / assets,0.68141006,0.70052982,0.70335521,0.73893126,0.68909849
equity / assets,0.31858994,0.29947018,0.29664479,0.26106874,0.31090151
Cash / asset,0.00308991,0.01236517,0.0166453,0.01870454,0.011687
Current ratio,2.06669072,2.36604194,2.56702322,2.80635637,2.91407005
Inventory / sales,0.20511075,0.20358537,0.19235883,0.21937989,0.21543835
Net debt/EBITDA,4.28705768,5.51436246,6.17312248,19.97318952,10.56766655
A/P / Sales,0.08919935,0.0782548,0.07175437,0.07242138,0.07371333
A/R / Sales,0.07173353,0.07236245,0.07625969,0.09644622,0.10412126
ROE,0.04709644,0.02304862,0.0175431,-0.16859105,-0.05153401
ROA,0.01500445,0.00690237,0.00520407,-0.04401385,-0.016022
Sales/total assets,1.91760391,1.87569393,1.91817952,1.66067246,1.57807584
Net income margin,0.00782458,0.0036799,0.00271302,-0.02650363,-0.01015287
EBIT/Sale,0.02723874,0.02208618,0.01733297,-0.00856709,0.00290151
EBITDA/Sale,0.0460414,0.04105738,0.03773205,0.01500686,0.02768263
EBITDA/ Assets,0.08828917,0.07701108,0.07237685,0.02492147,0.04368529
Total debt/ EBITDA,4.32205526,5.67492599,6.40310353,20.72372881,10.83519358
WC/ Asset,0.2909862,0.32124116,0.33785724,0.36884163,0.36223211
Price to book ratio,0.4130516,0.5609555,1.10651147,0.65876123,0.63726475
real GDP growth,0.04127478,0.04753238,0.04481405,0.04447221,0.03772504
Inflation,0.03376857,0.02188027,0.01552279,0.0233769,0.02931204
Unemployment,0.03991667,0.04216667,0.04508333,0.0495,0.05416667
10-year risk free,0.06029167,0.05636667,0.05264167,0.063525,0.06438334
YoY % in stock price,-0.18435754,0.62727273,-0.3125,0.05263158,-0.20833333
market cap based on Jun's data,208.5063,253.1619,62.1294,89.3975,84.4004
90-days stock vol,0.53019,0.60762,0.33183,0.77586,0.68303
Trading volume,248.3669875,283.7205938,89.90626563,66.56525,54.0965625
Total asset,1280.871,948.606,342.531,315.314,362.152
Diluted EPS,1.42,-2.25,-1.48,-0.4,-2.08
Liability / assets,0.78656867,0.74831806,0.50464921,0.55325485,0.5970725
equity / assets,0.21343133,0.25168194,0.49535079,0.44674515,0.4029275
Cash / asset,0.02305384,0.0224171,0.23033536,0.07767812,0.01807804
Current ratio,1.4418619,1.44080184,2.20593682,2.13431279,1.8128805
Inventory / sales,0,0,0,0,0
Net debt/EBITDA,4.24770826,4.92723255,-0.4027268,1.19363434,2.55050126
A/P / Sales,0.15679501,0.16890494,0.08165829,0.06772039,0.06798326
A/R / Sales,0.32522479,0.37895829,0.29880623,0.31704671,0.32524789
ROE,0.14148176,-0.0905603,-0.05172891,0.00387605,-0.09788173
ROA,0.03019664,-0.02279239,-0.02562396,0.00173161,-0.03943924
Sales/total assets,1.02606039,0.94187998,1.0572211,1.26870992,1.1707018
Net income margin,0.02942969,-0.02419883,-0.02423709,0.00136486,-0.03368855
EBIT/Sale,0.08728698,0.06238689,0.01299806,0.05006224,0.02400159
EBITDA/Sale,0.11039444,0.09117791,0.0526605,0.08631344,0.06916966
EBITDA/ Assets,0.11327136,0.08587865,0.05567379,0.10950671,0.08097705
Total debt/ EBITDA,4.45123582,5.1882649,3.73450446,1.9029801,2.77375026
WC/ Asset,0.12296554,0.1267755,0.32319702,0.28281015,0.20388677
Price to book ratio,0.76270329,1.0603773,0.3661714,0.63463245,0.5783979
real GDP growth,0.04753238,0.04481405,0.04447221,0.03772504,0.02684285
Inflation,0.02188027,0.01552279,0.0233769,0.02931204,0.0280542
Unemployment,0.04216667,0.04508333,0.0495,0.05416667,0.05608333
10-year risk free,0.05636667,0.05264167,0.063525,0.06438334,0.0658
YoY % in stock price,-0.4375,0.4301676,0.00561798,0.89361702,-0.56880734
market cap based on Jun's data,4384.2511,7884.0322,5458.6833,5388.516,2698.7577
90-days stock vol,0.54016,0.47633,0.38541,0.45293,0.80436
Trading volume,7776.3933,11642.0144,7045.377003,10079.14765,4916.235603
Total asset,15104,14166,13558,14286,15033
Diluted EPS,0.82,1.05,0.51,-0.45,-1.25
Liability / assets,0.5173464,0.50847099,0.52684762,0.5749685,0.6487727
equity / assets,0.4826536,0.49152901,0.47315238,0.4250315,0.3512273
Cash / asset,0.02277542,0.05012001,0.03673108,0.02841943,0.07204151
Current ratio,2.00196271,2.12137632,2.28344533,2.14686285,2.8557596
Inventory / sales,0.1976618,0.19409634,0.19783737,0.20211852,0.18989058
Net debt/EBITDA,1.20531401,1.1207187,1.59742765,2.34688157,5.2325856
A/P / Sales,0.06135003,0.06078874,0.05975204,0.06390559,0.05653833
A/R / Sales,0,0,0,0,0
ROE,0.05528121,0.07439322,0.03881528,-0.03623188,-0.10814394
ROA,0.02668167,0.03656643,0.01836554,-0.01539969,-0.0379831
Sales/total assets,2.378509,2.3771001,2.37372769,2.20054599,2.10955897
Net income margin,0.01121781,0.01538279,0.007737,-0.00699812,-0.01800523
EBIT/Sale,0.0361865,0.03296312,0.02780971,0.02458886,0.00510832
EBITDA/Sale,0.05762004,0.05288947,0.04831743,0.04539237,0.02670829
EBITDA/ Assets,0.13704979,0.12572356,0.11469243,0.099888,0.05634271
Total debt/ EBITDA,1.37149758,1.51937114,1.91768489,2.63139453,6.51121606
WC/ Asset,0.27039195,0.29217846,0.30992772,0.28916422,0.36971995
Price to book ratio,0.60140619,1.1322752,0.85092491,0.88743676,0.51112835
real GDP growth,0.04127478,0.04753238,0.04481405,0.04447221,0.03772504
Inflation,0.03376857,0.02188027,0.01552279,0.0233769,0.02931204
Unemployment,0.03991667,0.04216667,0.04508333,0.0495,0.05416667
10-year risk free,0.06029167,0.05636667,0.05264167,0.063525,0.06438334
YoY % in stock price,-0.28025478,2.76802412,-0.02343765,0.25489412,0.1309824
market cap based on Jun's data,8276.0327,9278.7004,1990.625,2038.4,1182.4095
90-days stock vol,0.94388,0.55029,0.87683,0.40963,0.47344
Trading volume,17374.23873,14774.46341,1753.17003,1244.017825,742.2948
Total asset,7365.6001,4203.1001,1925.197,1345.652,452.994
Diluted EPS,-0.95,-0.5367,-0.3317,-0.2417,-0.0917
Liability / assets,0.49004833,0.49834645,0.7596059,0.58430634,0.10941646
equity / assets,0.50995166,0.50165353,0.24039478,0.41569648,0.89058354
Cash / asset,0.01091561,0.30001665,0.30732024,0.27246049,0.39072924
Current ratio,0.66493384,5.28985507,4.40769966,3.71893402,5.83875836
Inventory / sales,0.01797093,0.03025968,0.02122666,0.01490186,0.01967463
Net debt/EBITDA,44.13673806,9.03559322,49.86617768,-7.18421344,8.95749071
A/P / Sales,0.19753705,0.12059859,0.1026242,0.16930336,0.19437306
A/R / Sales,0.25345457,0.20224472,0.19261735,0.40491851,0.33889552
ROE,-0.12707329,-0.10448186,-0.26990067,-0.14285387,-0.05539017
ROA,-0.06480124,-0.05241369,-0.06488271,-0.05938385,-0.04932957
Sales/total assets,0.18962474,0.21622136,0.31380996,0.19907524,0.17952335
Net income margin,-0.34173409,-0.24240757,-0.20675797,-0.29829853,-0.27478081
EBIT/Sale,-0.24980311,-0.14491637,-0.12360423,-0.2589497,-0.34688833
EBITDA/Sale,0.04345958,0.06492077,0.02211552,-0.13473642,-0.23835815
EBITDA/ Assets,0.00824101,0.01403726,0.00694007,-0.02682269,-0.04279085
Total debt/ EBITDA,45.46128501,30.40847458,94.1481925,-17.34205131,-0.17364837
WC/ Asset,-0.03850331,0.3028241,0.31853156,0.28136324,0.41053082
Price to book ratio,2.20335792,4.40061674,4.3011962,3.64401623,2.93089862
real GDP growth,0.04127478,0.04753238,0.04481405,0.04447221,0.03772504
Inflation,0.03376857,0.02188027,0.01552279,0.0233769,0.02931204
Unemployment,0.03991667,0.04216667,0.04508333,0.0495,0.05416667
10-year risk free,0.06029167,0.05636667,0.05264167,0.063525,0.06438334
YoY % in stock price,-0.98293333,-0.72477064,-0.74768519,-0.04845815,-0.15821919
market cap based on Jun's data,2.3608,137.8013,529.1337,1737.5039,1546.0686
90-days stock vol,1.94965,1.60236,1.1734,0.56975,0.6434
Trading volume,7.5206208,333.486,3037.697156,7544.6829,5562.572575
Total asset,145.014,1194.925,1879.285,1846.5389,1118.5811
Diluted EPS,-8.3,-5.91,-1.55,0.05,0.67
Liability / assets,2.82296882,0.71078938,0.56601261,0.46155973,0.59618207
equity / assets,-1.82296882,0.28921062,0.43398739,0.38476687,0.40381784
Cash / asset,0.00197222,0.02602088,0.03954376,0.02066569,0.02729351
Current ratio,0.21191385,1.71500461,1.49143377,1.69323781,2.24908934
Inventory / sales,0.00526146,0.00750827,0.0131253,0.01659352,0.01981535
Net debt/EBITDA,9.93449183,2.99579175,2.57275594,2.37324455,3.11389996
A/P / Sales,0.00262854,0.0230597,0.03370052,0.03092371,0.03145271
A/R / Sales,0.00426933,0.15203388,0.25040149,0.34983038,0.38552442
ROE,2.30138147,-1.28630004,-0.13664653,0.00451662,0.08053965
ROA,-4.19534666,-0.37201163,-0.05930287,0.00173785,0.03252335
Sales/total assets,6.30418442,1.26886198,0.80482684,0.60632029,0.68508667
Net income margin,-0.66548603,-0.29318526,-0.07368402,0.00286622,0.04747333
EBIT/Sale,-0.01649757,0.05727232,0.08898452,0.11129927,0.10665449
EBITDA/Sale,0.03909013,0.11691835,0.14864605,0.16714273,0.15908916
EBITDA/ Assets,0.24643138,0.14835324,0.11963433,0.10134203,0.10898986
Total debt/ EBITDA,9.94249496,3.17118987,2.90329453,2.57716478,3.36432239
WC/ Asset,-2.11172025,0.15826349,0.09996036,0.11009841,0.19037153
Price to book ratio,-0.00893038,0.39874792,0.64877732,2.44551118,3.42275477
real GDP growth,0.04127478,0.04753238,0.04481405,0.04447221,0.03772504
Inflation,0.03376857,0.02188027,0.01552279,0.0233769,0.02931204
Unemployment,0.03991667,0.04216667,0.04508333,0.0495,0.05416667
10-year risk free,0.06029167,0.05636667,0.05264167,0.063525,0.06438334
YoY % in stock price,-0.81104651,-0.84711111,-0.69178082,0.28070175,0.46153846
market cap based on Jun's data,60.8211,11.0097,72.0113,186.7431,143.8253
90-days stock vol,0.67671,1.90227,0.84123,0.60671,0.46311
Trading volume,4.96998125,20.1303296,175.00725,557.3112,131.48475
Total asset,366.791,348.801,350.068,555.128,230.041
Diluted EPS,-2.29,-48,-317.6,11.6,11.6
Liability / assets,0.83230505,1.2636403,1.17494601,0.7440176,0.64586313
equity / assets,0.16769495,-0.2636403,-0.17494601,0.2559824,0.35413687
Cash / asset,0.01816021,0.05391326,0.01971331,0.00687589,0.01663182
Current ratio,0.881566,2.06760841,0.04738341,0.89416078,1.60806864
Inventory / sales,0,0,0,0,0
Net debt/EBITDA,5.22634063,-0.74578624,11.04333821,9.15431157,3.59496574
A/P / Sales,0.05924686,0.02257384,0.08110938,0.07742753,0.10598467
A/R / Sales,0.12770841,0.19465136,0.14485376,0.16987169,0.21897111
ROE,-0.53198719,0.33401118,3.32031416,0.04424959,0.0724965
ROA,-0.08921157,-0.08805881,-0.58087572,0.01132712,0.02567368
Sales/total assets,0.24586754,0.16434299,0.19641612,0.11372152,0.23592316
Net income margin,-0.36284403,-0.53582332,-2.95737285,0.09960399,0.10882223
EBIT/Sale,0.41742255,0.20084434,0.08747946,0.32920957,0.31052845
EBITDA/Sale,0.58725688,0.43987579,0.49666226,0.63356566,0.61049897
EBITDA/ Assets,0.1443874,0.0722905,0.09755248,0.07205005,0.14403085
Total debt/ EBITDA,5.3521148,0,11.24541728,9.24974373,3.71043974
WC/ Asset,-0.00721664,0.0465853,-1.1092045,-0.0036406,0.02896005
Price to book ratio,0.98881627,-0.11972531,-1.17582907,1.31413904,1.76546412
real GDP growth,0.04127478,0.04753238,0.04481405,0.04447221,0.03772504
Inflation,0.03376857,0.02188027,0.01552279,0.0233769,0.02931204
Unemployment,0.03991667,0.04216667,0.04508333,0.0495,0.05416667
10-year risk free,0.06029167,0.05636667,0.05264167,0.063525,0.06438334
YoY % in stock price,-0.43478261,-0.41025641,0.85452885,0.83928072,0
market cap based on Jun's data,10.348,18.3396,26.0861,51.6159,26.439
90-days stock vol,1.69833,1.24242,0.85676,0.56285,0.40288
Trading volume,8.0933125,19.6520625,60.9457875,21.87735575,10.35326772
Total asset,36.896,50.081,28.003,33.972,31.647
Diluted EPS,-2.32,-2.33,-0.01,2.26,0.05
Liability / assets,0.88445902,0.63305445,0.13512838,0.24143412,0.50826303
equity / assets,0.11554098,0.36694555,0.86487162,0.75856588,0.49173697
Cash / asset,0.00994688,0.00035942,0.58000928,0.08203815,0.02948147
Current ratio,0.4258879,1.37264418,6.15063425,1.25554743,1.14637289
Inventory / sales,0.06222805,0.2184287,0.1156273,0.19072788,0.10547535
Net debt/EBITDA,-5.03554869,-19.08679525,108.28,0.6174743,12.36121212
A/P / Sales,0.11492193,0.18948368,0.07045252,0.09805151,0.05868774
A/R / Sales,0.17123112,0.21490836,0.11779507,0.12465845,0.13525816
ROE,-3.46352334,-0.76976656,-0.00144515,0.34334497,0.01375145
ROA,-0.40017888,-0.28246241,-0.00124987,0.26044978,0.00676209
Sales/total assets,0.8471379,0.35734111,0.9225083,0.65715884,0.97184567
Net income margin,-0.4723893,-0.79045597,-0.00135486,0.39632699,0.00695799
EBIT/Sale,-0.18134118,-0.25771122,-0.03925212,0.01370661,-0.02708415
EBITDA/Sale,-0.1656002,-0.07532409,-0.00580653,0.06100784,0.02682403
EBITDA/ Assets,-0.14028621,-0.0269164,-0.00535657,0.04009184,0.02606882
Total debt/ EBITDA,-5.10645286,-19.10014837,0,2.66372981,13.49212121
WC/ Asset,-0.50777862,0.09199097,0.69599686,0.06169787,0.03589598
Price to book ratio,2.42739855,0.99796485,1.07709237,2.00294529,1.69894615
real GDP growth,0.04753238,0.04481405,0.04447221,0.03772504,0.02684285
Inflation,0.02188027,0.01552279,0.0233769,0.02931204,0.0280542
Unemployment,0.04216667,0.04508333,0.0495,0.05416667,0.05608333
10-year risk free,0.05636667,0.05264167,0.063525,0.06438334,0.0658
YoY % in stock price,-0.81109333,-0.40789474,-0.26213592,0.14444444,0.5
market cap based on Jun's data,4.507,23.776,39.9665,53.9141,46.9462
90-days stock vol,2.17854,1.13188,0.82723,0.73193,0.47186
Trading volume,2.04183903,8.2288125,13.54985,48.79045625,14.6221875
Total asset,171.69,197.29,199.566,183.646,185.238
Diluted EPS,-3.63,-0.99,-0.07,-0.17,0.24
Liability / assets,0.921533,0.77369355,0.73268493,0.70333141,0.68875177
equity / assets,0.078467,0.22630645,0.26731507,0.29666859,0.31124823
Cash / asset,0.01846933,0.02876476,0.03473036,0.03917864,0.117098
Current ratio,1.45721987,2.42824479,2.78034731,4.31503908,3.67157262
Inventory / sales,0.28177778,0.28879321,0.32607852,0.32004378,0.30150089
Net debt/EBITDA,-21.09302326,9.41333581,5.79557215,4.20588235,2.93305902
A/P / Sales,0.08190155,0.04547748,0.06608138,0.04108972,0.07310449
A/R / Sales,0.07663896,0.12275054,0.13626248,0.10509136,0.10794552
ROE,-2.28577791,-0.18742161,-0.01047856,-0.02633897,0.0340647
ROA,-0.17935815,-0.04241472,-0.00280108,-0.00781395,0.01060258
Sales/total assets,1.19530549,1.24550661,1.22713789,1.37795541,1.32184001
Net income margin,-0.15005214,-0.03405419,-0.00228261,-0.00567068,0.00802107
EBIT/Sale,-0.06704934,0.01846772,0.04218134,0.04829366,0.04659084
EBITDA/Sale,-0.02388633,0.04388221,0.062341,0.0697316,0.06650058
EBITDA/ Assets,-0.02855146,0.05465558,0.07650101,0.09608704,0.08790313
Total debt/ EBITDA,-21.73990208,9.93962719,6.24955787,4.61362348,4.26518455
WC/ Asset,0.16203623,0.35144711,0.41816742,0.51276369,0.51347996
Price to book ratio,0.33454572,0.53252105,0.7491799,0.98957637,0.81426069
real GDP growth,0.04127478,0.04753238,0.04481405,0.04447221,0.03772504
Inflation,0.03376857,0.02188027,0.01552279,0.0233769,0.02931204
Unemployment,0.03991667,0.04216667,0.04508333,0.0495,0.05416667
10-year risk free,0.06029167,0.05636667,0.05264167,0.063525,0.06438334
YoY % in stock price,-0.84033613,0.04385965,-0.38378378,0.25,-0.2815534
market cap based on Jun's data,51.395,321.895,308.37,500.425,400.34
90-days stock vol,0.90139,0.52042,0.6595,0.62583,0.40732
Trading volume,21.4928,204.37655,350.4181875,454.438625,144.280575
Total asset,2565.2,2749.1001,2483.9751,2453.459,2558.3301
Diluted EPS,-3.14,-0.69,1.94,4.7,0.99
Liability / assets,0.72021671,0.68971661,0.65768534,0.65885796,0.72322098
equity / assets,0.27978325,0.31028335,0.34231462,0.34114204,0.27677898
Cash / asset,0.00128645,0.02124332,0.05551384,0.13761877,0.04262194
Current ratio,1.30334408,1.60274202,1.609185,1.57640261,1.50413344
Inventory / sales,0.17550103,0.17596669,0.16602062,0.11918556,0.14914085
Net debt/EBITDA,17.72067039,3.92570579,0.93650537,0.01502332,2.00342454
A/P / Sales,0.07778039,0.08332769,0.08501379,0.07837953,0.0795157
A/R / Sales,0.06398335,0.10929776,0.08631889,0.09055315,0.09542514
ROE,-0.18085551,-0.03352872,0.09850394,0.25508795,0.07615395
ROA,-0.05060034,-0.0104034,0.03371934,0.08702122,0.02107781
Sales/total assets,1.16127394,1.07431515,1.14656701,1.27968672,1.15467234
Net income margin,-0.04357313,-0.00968375,0.02940896,0.06800197,0.01825437
EBIT/Sale,-0.03934338,-0.00186226,0.02402421,0.06033044,0.01852992
EBITDA/Sale,0.01201786,0.04557459,0.06938903,0.10318414,0.06741665
EBITDA/ Assets,0.01395603,0.04896148,0.07955917,0.13204337,0.07784414
Total debt/ EBITDA,17.81284916,4.35958395,1.63427334,1.05724728,2.5509538
WC/ Asset,0.06966318,0.13113382,0.13409635,0.14973961,0.10893395
Price to book ratio,0.0716107,0.37736811,0.36265981,0.59789505,0.56537851
real GDP growth,0.04127478,0.04753238,0.04481405,0.04447221,0.03772504
Inflation,0.03376857,0.02188027,0.01552279,0.0233769,0.02931204
Unemployment,0.03991667,0.04216667,0.04508333,0.0495,0.05416667
10-year risk free,0.06029167,0.05636667,0.05264167,0.063525,0.06438334
YoY % in stock price,-0.78417282,-0.41596635,-0.42233008,0.69780214,-0.0618556
market cap based on Jun's data,35.9893,192.7496,382.2577,574.225,328.5555
90-days stock vol,1.04371,0.33812,0.37539,0.24617,0.16894
Trading volume,20.84701279,146.3052954,222.3828321,293.8615745,117.9405993
Total asset,724.212,753.431,794.5,729.796,728.83
Diluted EPS,-38.6017,16.3449,41.7316,66.7706,55.1785
Liability / assets,0.57226337,0.54747681,0.51519572,0.43971192,0.58807129
equity / assets,0.42773663,0.45252319,0.48480428,0.56028808,0.41192871
Cash / asset,0.03296549,0.02993506,0.03832222,0.03336412,0.04314861
Current ratio,2.94179446,1.60479153,2.35718232,2.58919513,2.01967514
Inventory / sales,0.15665184,0.15962411,0.17104548,0.15859682,0.16619255
Net debt/EBITDA,3.43774968,2.51006155,1.55322654,0.88547582,1.92735504
A/P / Sales,0.06681192,0.06810506,0.06422674,0.06772258,0.07653796
A/R / Sales,0.18209932,0.18681594,0.18959369,0.1870407,0.20718879
ROE,-0.06770786,0.03000484,0.07842109,0.10574327,0.11317474
ROA,-0.02896113,0.01357789,0.03801888,0.05924669,0.04661993
Sales/total assets,1.12429233,1.13724814,1.12590812,1.22597137,1.13925058
Net income margin,-0.02575943,0.01193925,0.0337673,0.04832633,0.04092157
EBIT/Sale,0.01001073,0.03435655,0.07778575,0.09680131,0.08626313
EBITDA/Sale,0.08946288,0.10978855,0.14927661,0.16337155,0.15297114
EBITDA/ Assets,0.10058243,0.12485682,0.16807174,0.20028885,0.17427246
Total debt/ EBITDA,3.76549566,2.74981663,1.7812376,1.05205583,2.17494784
WC/ Asset,0.29426466,0.16943821,0.26592574,0.293197,0.2437578
Price to book ratio,0.11617996,0.56533928,0.99242089,1.4043302,1.09436058
real GDP growth,0.04127478,0.04753238,0.04481405,0.04447221,0.03772504
Inflation,0.03376857,0.02188027,0.01552279,0.0233769,0.02931204
Unemployment,0.03991667,0.04216667,0.04508333,0.0495,0.05416667
10-year risk free,0.06029167,0.05636667,0.05264167,0.063525,0.06438334
YoY % in stock price,-0.70547945,0.83647799,-0.02453988,-0.26576577,-0.35425246
market cap based on Jun's data,172.0226,584,318,326,444
90-days stock vol,0.6119,0.34811,0.4076,0.5815,0.35933
Trading volume,78.4239375,224.626475,86.13328125,210.583775,249.5404875
Total asset,1507.994,1466.246,1282.967,1627.7531,708.115
Diluted EPS,-0.14,1.05,0.62,0.48,-0.08
Liability / assets,0.84997619,0.83475897,0.82842505,0.8440672,0.7233246
equity / assets,0.15002381,0.16524103,0.17157495,0.15593274,0.2766754
Cash / asset,0.0202839,0.03839397,0.04544778,0.03559754,0.06846204
Current ratio,2.26468479,2.18006622,3.16185195,1.41122709,2.0206085
Inventory / sales,0.14239677,0.12725291,0.12307148,0.17585243,0.10671349
Net debt/EBITDA,6.53939985,4.98362701,4.90169214,11.25278758,3.37424051
A/P / Sales,0.07143445,0.0904433,0.06607651,0.09745604,0.06916228
A/R / Sales,0.15863161,0.14975247,0.1294704,0.20051301,0.12419635
ROE,-0.01910845,0.13801984,0.08951278,0.06078323,0.00454272
ROA,-0.00286672,0.02280654,0.01535815,0.0094781,0.00125686
Sales/total assets,0.57164352,0.60685247,0.62585242,0.32883795,0.73627589
Net income margin,-0.00501488,0.03758169,0.02453957,0.028823,0.00170705
EBIT/Sale,0.09809695,0.13511539,0.13145932,0.10949489,0.11920179
EBITDA/Sale,0.18192765,0.2099034,0.20534331,0.18480683,0.18972204
EBITDA/ Assets,0.10399776,0.1273804,0.12851461,0.0607715,0.13968776
Total debt/ EBITDA,6.73444155,5.2850389,5.25533115,11.83854793,3.86434818
